,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,bluff,-46.6,168.33,39.0,93,5,7.07,NZ,1603821642
44,hasaki,35.73,140.83,53.6,93,20,5.82,JP,1603821643
45,bandarbeyla,9.49,50.81,76.57,81,2,12.3,SO,1603821645
46,namatanai,-3.67,152.43,79.14,78,64,2.66,PG,1603821647
47,ushuaia,-54.8,-68.3,46.4,45,40,18.34,AR,1603821648
48,narsaq,60.92,-46.05,33.8,69,75,3.36,GL,1603821649
49,dikson,73.51,80.55,11.61,96,97,17.47,RU,1603821650
50,lorengau,-2.02,147.27,80.37,76,86,0.27,PG,1603821651
51,danielskuil,-28.19,23.54,75.24,34,87,5.44,ZA,1603821653
52,punta arenas,-53.15,-70.92,50.0,39,40,21.92,CL,1603821456
53,cape town,-33.93,18.42,64.4,72,40,3.36,ZA,1603821364
54,hermanus,-34.42,19.23,63.0,89,99,1.99,ZA,1603821657
55,haines junction,60.75,-137.51,29.25,92,95,3.15,CA,1603821658
56,carnarvon,-24.87,113.63,68.0,88,75,24.16,AU,1603821659
57,vardo,70.37,31.11,35.6,83,75,21.92,NO,1603821662
58,lavrentiya,65.58,-171.0,30.22,96,99,9.28,RU,1603821663
59,kaitangata,-46.28,169.85,46.99,82,5,1.99,NZ,1603821664
60,butaritari,3.07,172.79,80.82,70,80,8.55,KI,1603821665
61,boffa,10.17,-14.03,82.83,77,100,6.73,GN,1603821666
62,saskylakh,71.92,114.08,3.33,92,98,8.03,RU,1603821668
63,japura,-0.32,102.35,76.41,88,74,2.75,ID,1603821669
64,buchanan,5.88,-10.05,84.2,83,75,11.41,LR,1603821670
65,jamestown,42.1,-79.24,46.0,81,90,6.93,US,1603821392
66,faanui,-16.48,-151.75,79.77,82,80,18.12,PF,1603821672
67,puerto palomas,31.77,-107.62,28.4,86,90,21.92,MX,1603821673
68,codrington,-38.27,141.97,46.31,93,19,5.77,AU,1603821675
69,vicuna,-30.03,-70.71,75.99,23,0,7.0,CL,1603821676
70,ambilobe,-13.2,49.05,74.64,80,43,2.89,MG,1603821677
71,cidreira,-30.18,-50.21,71.02,67,77,15.21,BR,1603821666
72,mahebourg,-20.41,57.7,72.0,76,13,3.0,MU,1603821679
73,tolaga bay,-38.37,178.3,53.24,86,100,8.52,NZ,1603821680
74,najran,17.49,44.13,71.6,21,0,4.7,SA,1603821681
75,sitka,57.05,-135.33,44.6,93,90,3.78,US,1603821682
76,bathsheba,13.22,-59.52,86.0,74,40,19.46,BB,1603821684
77,eyl,7.98,49.82,78.58,68,70,9.44,SO,1603821685
78,flinders,-34.58,150.86,55.99,90,38,1.01,AU,1603821686
79,iqaluit,63.75,-68.51,14.0,85,40,4.7,CA,1603821687
80,ahipara,-35.17,173.17,58.01,90,46,2.86,NZ,1603821688
81,mataura,-46.19,168.86,39.0,93,17,1.88,NZ,1603821689
82,barrow,71.29,-156.79,30.2,80,90,13.87,US,1603821690
83,verkhnevilyuysk,63.45,120.32,6.62,91,94,2.21,RU,1603821692
84,port elizabeth,-33.92,25.57,64.4,88,0,11.41,ZA,1603821647
85,tuktoyaktuk,69.45,-133.04,10.4,92,90,13.87,CA,1603821695
86,port lincoln,-34.73,135.87,55.04,88,0,5.03,AU,1603821696
87,belaya gora,68.53,146.42,11.41,93,100,3.87,RU,1603821697
88,tuatapere,-46.13,167.68,39.0,93,12,3.4,NZ,1603821698
89,saryg-sep,51.5,95.6,27.14,92,92,3.24,RU,1603821701
90,amahai,-3.33,128.92,81.0,93,51,2.98,ID,1603821702
91,husavik,66.04,-17.34,37.4,64,90,3.36,IS,1603821703
92,souillac,-20.52,57.52,72.0,76,29,3.0,MU,1603821704
93,san patricio,28.02,-97.52,60.8,87,90,14.99,US,1603821705
94,fortuna,40.6,-124.16,57.2,22,1,5.82,US,1603821426
95,upernavik,72.79,-56.15,17.58,83,0,5.86,GL,1603821708
96,marawi,8.0,124.29,75.0,90,100,3.0,PH,1603821709
97,rurrenabaque,-14.44,-67.53,86.0,58,75,3.22,BO,1603821710
98,samarai,-10.62,150.67,81.0,85,77,7.54,PG,1603821711
99,kamina,-8.74,24.99,68.76,86,36,3.98,CD,1603821712
100,ribeira grande,38.52,-28.7,68.0,60,40,6.93,PT,1603821713
101,tasiilaq,65.61,-37.64,33.8,47,75,17.22,GL,1603821715
102,acapulco,16.86,-99.89,84.2,79,90,3.36,MX,1603821716
103,ritchie,-29.04,24.6,68.0,72,75,10.29,ZA,1603821717
104,sao filipe,14.9,-24.5,82.17,68,96,10.8,CV,1603821718
105,dubbo,-32.25,148.62,55.4,82,48,14.99,AU,1603821719
106,khatanga,71.97,102.5,2.5,93,98,13.4,RU,1603821720
107,wukari,7.85,9.78,81.41,53,3,1.45,NG,1603821722
108,pevek,69.7,170.31,19.9,96,100,16.04,RU,1603821723
109,clyde,41.3,-82.98,46.0,79,100,2.8,US,1603821626
110,nioro,13.35,-15.75,90.66,31,3,2.01,GM,1603821725
111,hualmay,-11.1,-77.61,69.49,68,61,10.27,PE,1603821726
112,hella,67.2,14.43,42.01,75,0,8.05,NO,1603821727
113,rikitea,-23.12,-134.97,75.2,84,77,16.49,PF,1603821707
114,pangnirtung,66.15,-65.71,14.0,61,20,5.82,CA,1603821730
115,itarema,-2.92,-39.92,85.15,61,29,15.37,BR,1603821731
116,kloulklubed,7.04,134.26,75.2,94,40,4.03,PW,1603821732
117,pucara,-15.98,-71.46,66.2,24,0,10.29,PE,1603821733
118,turner,44.26,-70.26,48.0,58,28,7.0,US,1603821441
119,qaanaaq,77.48,-69.36,9.32,79,80,12.53,GL,1603821736
120,milagro,42.24,-1.76,57.2,54,20,6.93,ES,1603821737
121,new norfolk,-42.78,147.06,46.99,85,98,1.59,AU,1603821460
122,luderitz,-26.65,15.16,59.5,72,22,12.73,NA,1603821740
123,moose factory,51.26,-80.61,33.71,80,100,13.27,CA,1603821741
124,bridlington,54.08,-0.19,48.99,85,100,5.99,GB,1603821742
125,angoram,-4.06,144.07,72.64,96,88,1.03,PG,1603821743
126,shelburne,44.08,-80.2,43.0,93,90,3.36,CA,1603821716
127,batagay-alyta,67.8,130.41,2.21,89,45,2.82,RU,1603821746
128,severo-kurilsk,50.68,156.12,42.39,85,7,7.09,RU,1603821747
129,bambous virieux,-20.34,57.76,72.0,76,8,3.0,MU,1603821748
130,shahpur,16.7,76.83,74.79,72,62,2.89,IN,1603821749
131,berlevag,70.86,29.09,33.8,74,0,9.17,NO,1603821750
132,angouleme,45.65,0.15,55.0,100,90,12.75,FR,1603821752
133,galle,6.04,80.22,79.09,86,100,6.85,LK,1603821753
134,barahona,18.21,-71.1,89.6,62,20,9.17,DO,1603821606
135,lalmohan,22.34,90.74,78.78,77,0,7.07,BD,1603821756
136,igarka,67.47,86.58,-2.38,87,0,6.22,RU,1603821757
137,quatre cocos,-20.21,57.76,72.0,76,9,3.0,MU,1603821760
138,nikolayevsk-na-amure,53.14,140.73,34.84,86,91,1.05,RU,1603821761
139,esperance,-33.87,121.9,55.4,100,33,4.7,AU,1603821762
140,cimahi,-6.87,107.54,70.45,86,98,1.34,ID,1603821763
141,ostrovnoy,68.05,39.51,40.89,92,100,20.11,RU,1603821716
142,yelizovo,53.19,158.38,32.0,78,43,4.47,RU,1603821765
143,wana,32.3,69.57,56.35,34,0,2.71,PK,1603821767
144,shaunavon,49.65,-108.42,40.62,80,99,12.73,CA,1603821768
145,praia da vitoria,38.73,-27.07,66.2,72,75,13.42,PT,1603821769
146,clyde river,70.47,-68.59,14.0,61,75,6.93,CA,1603821770
147,villazon,-22.09,-65.59,66.25,20,18,1.99,BO,1603821771
148,ust-kut,56.79,105.77,29.03,97,100,3.11,RU,1603821772
149,bar-le-duc,48.75,5.17,51.8,76,90,17.22,FR,1603821775
150,muncar,-8.43,114.33,75.63,89,55,2.62,ID,1603821776
151,lima,-12.04,-77.03,66.99,72,75,8.05,PE,1603821777
152,karratha,-20.74,116.85,67.05,88,27,1.79,AU,1603821778
153,yacopi,5.46,-74.34,76.84,72,66,3.78,CO,1603821780
154,cherskiy,68.75,161.3,6.89,93,51,7.49,RU,1603821782
155,norman wells,65.28,-126.83,19.4,85,90,11.41,CA,1603821784
156,bandipur,27.93,84.42,58.06,87,0,2.26,NP,1603821785
157,ponta do sol,32.67,-17.1,68.0,68,75,8.05,PT,1603821761
158,puerto ayora,-0.74,-90.35,73.4,78,75,16.11,EC,1603821711
159,necochea,-38.55,-58.74,75.99,50,0,10.0,AR,1603821788
160,smithers,54.78,-127.17,35.6,100,75,3.36,CA,1603821606
161,victoria,22.29,114.16,77.0,75,72,3.0,HK,1603821580
162,abashiri,44.02,144.27,45.34,70,71,3.49,JP,1603821793
163,saint-philippe,-21.36,55.77,75.2,73,75,7.16,RE,1603821794
164,manokwari,-0.87,134.08,79.12,77,89,4.32,ID,1603821707
165,kenai,60.55,-151.26,32.0,92,1,6.24,US,1603821797
166,sulangan,11.14,123.72,83.52,73,89,6.6,PH,1603821798
167,alexandria,31.22,29.96,75.2,64,40,8.05,EG,1603821698
168,gazanjyk,39.24,55.52,55.49,38,0,12.33,TM,1603821802
169,chegdomyn,51.12,133.02,32.11,97,100,1.72,RU,1603821803
170,ketchikan,55.34,-131.65,46.4,100,75,3.36,US,1603821753
171,bengkulu,-3.8,102.27,75.65,86,96,3.74,ID,1603821805
172,bredasdorp,-34.53,20.04,66.2,72,90,10.29,ZA,1603821806
173,mogapi,-22.32,27.83,78.08,26,0,8.43,BW,1603821807
174,terney,45.05,136.61,42.33,71,60,4.76,RU,1603821808
175,zambezi,-13.54,23.1,80.17,30,43,5.55,ZM,1603821809
176,touros,-5.2,-35.46,86.0,58,40,13.87,BR,1603821811
177,champerico,14.3,-91.92,87.8,62,20,6.93,GT,1603821812
178,tefe,-3.35,-64.71,91.4,63,40,8.05,BR,1603821749
179,tura,25.52,90.22,69.66,88,1,4.07,IN,1603821814
180,arraial do cabo,-22.97,-42.03,82.4,69,0,12.75,BR,1603821732
181,tacuarembo,-31.73,-55.98,69.37,45,0,7.31,UY,1603821819
182,peniche,39.36,-9.38,61.0,89,84,10.0,PT,1603821821
183,tiznit,29.58,-9.5,65.16,63,0,5.64,MA,1603821822
184,xinye,32.52,112.35,61.36,31,100,11.32,CN,1603821823
185,margate,51.38,1.39,55.99,94,99,1.99,GB,1603821806
186,tessalit,20.2,1.01,85.71,14,0,7.05,ML,1603821825
187,kuytun,54.34,101.5,27.73,96,70,5.95,RU,1603821827
188,port victoria,0.09,33.98,70.77,79,84,15.28,KE,1603821828
189,hammerfest,70.66,23.68,30.2,86,0,1.12,NO,1603821829
190,hithadhoo,-0.6,73.08,83.71,68,40,8.99,MV,1603821830
191,omaruru,-21.43,15.93,75.24,21,64,9.93,NA,1603821831
192,shinpokh,34.33,71.18,68.0,49,5,4.7,PK,1603821833
193,evensk,61.95,159.23,24.49,80,0,13.53,RU,1603821834
194,krasnoarmeysk,51.02,45.7,37.0,68,0,5.01,RU,1603821835
195,dingle,11.0,122.67,76.14,86,92,4.43,PH,1603821753
196,monywa,22.12,95.13,78.66,77,13,2.01,MM,1603821837
197,cabo san lucas,22.89,-109.91,82.99,61,5,2.42,MX,1603821838
198,arvika,59.66,12.59,48.2,93,96,17.22,SE,1603821839
199,vestmannaeyjar,63.44,-20.27,41.0,75,75,41.38,IS,1603821669
200,lakewood,39.7,-105.08,39.99,44,0,1.99,US,1603821630
201,makaryev,57.88,43.81,34.32,89,84,9.13,RU,1603821843
202,vila velha,-20.33,-40.29,81.0,69,20,12.75,BR,1603821700
203,tazovskiy,67.47,78.7,-3.3,90,0,8.59,RU,1603821846
204,seoul,37.57,126.98,57.2,93,90,3.62,KR,1603821767
205,seydi,39.48,62.91,50.04,47,56,13.65,TM,1603821848
206,marshall,34.38,-86.33,72.0,88,90,3.36,US,1603821850
207,tucumcari,35.17,-103.72,24.8,73,20,10.29,US,1603821851
208,manzanillo,20.34,-77.12,86.63,67,70,7.02,CU,1603821606
209,east london,-33.02,27.91,69.8,88,0,4.7,ZA,1603821650
210,kambove,-10.88,26.6,72.59,41,22,2.95,CD,1603821854
211,broome,42.25,-75.83,50.0,75,90,5.82,US,1603821857
212,castro,-24.79,-50.01,78.06,39,17,7.96,BR,1603821645
213,dubovskoye,47.41,42.76,49.41,49,62,16.8,RU,1603821859
214,whitehorse,60.72,-135.05,30.99,74,75,3.36,CA,1603821860
215,constitucion,-35.33,-72.42,55.85,79,98,6.08,CL,1603821861
216,zabol,32.25,67.25,47.82,39,0,10.47,AF,1603821863
217,axim,4.87,-2.24,78.89,86,100,9.22,GH,1603821864
218,guerrero negro,27.98,-114.06,72.3,21,0,19.91,MX,1603821865
219,burshtyn,49.26,24.63,46.0,100,40,5.95,UA,1603821866
220,yinchuan,38.47,106.27,46.27,46,100,2.44,CN,1603821867
221,chumikan,54.72,135.31,37.62,79,100,13.94,RU,1603821856
222,puerto narino,-3.77,-70.38,91.4,66,75,2.24,CO,1603821871
223,albuquerque,35.08,-106.65,34.0,63,75,18.34,US,1603821703
224,tutoia,-2.76,-42.27,83.86,66,19,12.3,BR,1603821873
225,guadalajara,20.67,-103.33,75.99,64,75,5.82,MX,1603821639
226,portland,45.52,-122.68,48.99,73,5,1.45,US,1603821801
227,talnakh,69.49,88.4,-4.29,85,11,5.23,RU,1603821730
228,bambanglipuro,-7.95,110.28,76.33,88,93,2.68,ID,1603821878
229,basco,20.45,121.97,81.32,85,97,21.03,PH,1603821879
230,poum,-20.23,164.02,76.19,77,77,15.97,NC,1603821777
231,yasnyy,51.03,59.87,30.18,91,22,14.27,RU,1603821881
232,isangel,-19.55,169.27,74.16,81,25,13.29,VU,1603821882
233,inirida,3.87,-67.92,92.8,53,62,1.03,CO,1603821883
234,phalaborwa,-23.94,31.14,80.6,61,28,2.24,ZA,1603821885
235,kahului,20.89,-156.47,78.8,74,1,5.82,US,1603821738
236,vaini,-21.2,-175.2,69.8,94,75,9.17,TO,1603821829
237,ajdabiya,30.76,20.23,79.47,37,0,8.14,LY,1603821890
238,rio do sul,-27.21,-49.64,89.01,35,8,1.01,BR,1603821654
239,kranuan,16.71,103.08,72.23,89,99,2.89,TH,1603821892
240,nouadhibou,20.93,-17.03,87.8,38,95,12.75,MR,1603821895
241,brest,52.1,23.7,56.59,82,66,8.81,BY,1603821896
242,saint george,37.1,-113.58,51.01,13,1,4.7,US,1603821896
243,kinkala,-4.36,14.76,75.4,88,71,2.55,CG,1603821898
244,kapit,2.02,112.93,72.54,90,96,0.87,MY,1603821899
245,roald,62.58,6.13,46.4,75,75,4.7,NO,1603821900
246,boralday,43.36,76.86,48.2,57,75,4.47,KZ,1603821902
247,rio cuarto,-33.13,-64.35,80.6,28,0,18.34,AR,1603821903
248,kotido,2.98,34.13,77.86,44,85,13.71,UG,1603821904
249,vila franca do campo,37.72,-25.43,66.2,63,75,11.41,PT,1603821905
250,geraldton,-28.77,114.6,62.6,72,75,9.17,AU,1603821907
251,korla,41.76,86.15,39.0,93,12,1.99,CN,1603821908
252,kamloops,50.67,-120.32,32.0,73,75,2.24,CA,1603821640
253,kumbo,6.2,10.67,61.9,91,28,2.77,CM,1603821910
254,longyearbyen,78.22,15.64,32.0,94,75,11.41,SJ,1603821911
255,ruwi,23.6,58.55,77.0,61,0,2.24,OM,1603821912
256,bulaevo,54.91,70.44,27.81,97,100,23.02,KZ,1603821913
257,shetpe,44.17,52.12,37.35,72,49,8.5,KZ,1603821914
258,yumen,40.28,97.2,39.65,61,100,3.91,CN,1603821915
259,riyadh,24.69,46.72,71.6,37,0,5.88,SA,1603821697
260,airai,-8.93,125.41,61.14,100,93,0.94,TL,1603821918
261,walvis bay,-22.96,14.51,59.0,86,1,3.0,NA,1603821857
262,tadine,-21.55,167.88,72.52,81,57,14.7,NC,1603821920
263,aparecida do taboado,-20.09,-51.09,84.34,55,70,5.3,BR,1603821921
264,apud,13.14,123.29,79.74,80,95,4.72,PH,1603821922
265,vestmanna,62.16,-7.17,42.8,75,33,9.17,FO,1603821924
266,naberera,-4.2,36.93,67.21,64,46,10.42,TZ,1603821925
267,sao joao da barra,-21.64,-41.05,86.0,55,20,6.93,BR,1603821926
268,orange,33.7,-117.77,75.99,6,20,17.22,US,1603821639
269,russell,32.35,-85.2,78.8,74,90,5.82,US,1603821845
270,mitsamiouli,-11.38,43.28,78.39,76,26,8.39,KM,1603821929
271,nanakuli,21.39,-158.15,75.2,88,1,3.36,US,1603821668
272,port hardy,50.7,-127.42,46.4,93,90,10.29,CA,1603821880
273,misratah,32.38,15.09,70.23,76,14,25.03,LY,1603821761
274,feijo,-8.16,-70.35,96.35,39,90,3.49,BR,1603821935
275,waingapu,-9.66,120.26,79.41,76,76,4.23,ID,1603821784
276,kalispell,48.2,-114.31,30.0,74,90,4.7,US,1603821937
277,lagoa,39.05,-27.98,63.27,69,87,13.06,PT,1603821743
278,wielun,51.22,18.57,54.0,80,100,6.31,PL,1603821939
279,vaasa,63.1,21.62,46.4,93,75,11.41,FI,1603821941
280,yar-sale,66.83,70.83,4.01,93,42,7.07,RU,1603821942
281,venustiano carranza,19.43,-99.1,73.4,23,20,4.7,MX,1603821943
282,mehamn,71.04,27.85,33.8,74,0,9.17,NO,1603821944
283,kodiak,57.79,-152.41,37.4,69,1,6.93,US,1603821897
284,kajaani,64.23,27.73,50.0,100,90,9.17,FI,1603821946
285,porto novo,6.5,2.6,84.2,79,40,13.87,BJ,1603821907
286,georgetown,5.41,100.34,80.6,83,20,4.43,MY,1603821888
287,jishou,28.32,109.72,62.83,73,94,4.05,CN,1603821950
288,dali,25.7,100.18,57.24,85,2,3.44,CN,1603821951
289,nigel,-26.43,28.48,72.0,60,36,9.15,ZA,1603821952
290,roma,43.21,-75.46,44.6,75,90,1.7,US,1603821953
291,harwich,51.94,1.28,55.0,88,99,7.0,GB,1603821954
292,tiksi,71.69,128.87,1.8,92,86,8.55,RU,1603821956
293,olafsvik,64.89,-23.71,39.33,73,100,20.76,IS,1603821741
294,maltahohe,-24.83,16.98,76.1,18,53,18.61,NA,1603821958
295,mar del plata,-38.0,-57.56,69.8,43,0,5.82,AR,1603821811
296,bollnas,61.35,16.39,44.46,88,90,6.91,SE,1603821874
297,poya,-21.35,165.15,72.03,81,88,4.83,NC,1603821962
298,gopalpur,19.27,84.92,76.75,62,15,6.17,IN,1603821963
299,kudahuvadhoo,2.67,72.89,82.63,77,20,12.53,MV,1603821965
300,licheng,23.3,113.83,79.0,64,0,2.24,CN,1603821966
301,fairbanks,64.84,-147.72,27.0,100,90,4.7,US,1603821967
302,nome,64.5,-165.41,30.2,80,90,4.59,US,1603821827
303,baruun-urt,46.68,113.28,27.14,76,0,6.55,MN,1603821969
304,provideniya,64.38,-173.3,29.37,96,79,3.6,RU,1603821719
305,torbay,47.67,-52.73,42.8,100,90,10.29,CA,1603821716
306,kilindoni,-7.91,39.67,79.12,81,1,14.97,TZ,1603821976
307,taoudenni,22.68,-3.98,89.94,12,85,7.34,ML,1603821977
308,union,40.63,-74.27,62.01,55,90,4.59,US,1603821978
309,hwange,-18.37,26.5,81.45,30,9,3.24,ZW,1603821979
310,gambela,8.25,34.58,74.43,82,36,2.93,ET,1603821982
311,palana,59.12,159.97,33.04,92,99,5.88,RU,1603821983
312,narrabri,-30.32,149.78,59.0,77,40,6.93,AU,1603821984
313,baykit,61.67,96.37,12.97,91,100,9.13,RU,1603821985
314,tabou,4.42,-7.35,79.16,84,99,6.89,CI,1603821986
315,henties bay,-22.12,14.28,59.0,86,1,3.0,NA,1603821753
316,na wa,17.49,104.1,70.34,77,98,3.02,TH,1603821990
317,leningradskiy,69.38,178.42,17.58,90,36,18.86,RU,1603821932
318,stornoway,58.21,-6.39,48.2,93,75,14.99,GB,1603821956
319,turukhansk,65.82,87.98,2.26,86,0,14.0,RU,1603821993
320,paldiski,59.36,24.05,53.6,93,90,9.17,EE,1603821994
321,tsevie,6.43,1.21,78.69,83,95,6.91,TG,1603821995
322,mapastepec,15.43,-92.9,86.67,63,18,5.26,MX,1603821996
323,santa clara,22.4,-79.97,87.8,62,75,11.41,CU,1603821998
324,nelson bay,-32.72,152.15,59.0,93,40,4.05,AU,1603821999
325,kampenhout,50.95,4.55,54.0,81,75,19.46,BE,1603822000
326,kwakoa,-3.77,37.72,71.94,68,40,6.89,TZ,1603822002
327,conil,44.97,3.72,39.51,99,94,4.59,FR,1603822003
328,ust-kuyga,70.02,135.6,7.57,94,100,2.66,RU,1603822005
329,avera,33.19,-82.53,77.0,69,1,3.36,US,1603821856
330,tucuman,-26.82,-65.22,87.8,29,0,8.05,AR,1603821754
331,hambantota,6.12,81.12,79.57,82,96,9.84,LK,1603822008
332,novobirilyussy,56.95,90.67,37.87,83,100,5.66,RU,1603822009
333,tual,-5.67,132.75,83.1,74,93,9.28,ID,1603822010
334,kieta,-6.22,155.63,78.64,77,4,2.13,PG,1603821863
335,yulara,-25.24,130.99,66.2,25,0,6.93,AU,1603822013
336,dukat,62.55,155.55,6.78,80,1,1.19,RU,1603822014
337,kingman,35.19,-114.05,59.0,9,1,19.46,US,1603822015
338,lazaro cardenas,17.96,-102.2,85.75,70,81,3.87,MX,1603822016
339,talara,-4.58,-81.27,73.4,69,0,19.46,PE,1603822018
340,los llanos de aridane,28.66,-17.92,73.4,64,75,11.41,ES,1603821975
341,yangjiang,21.85,111.97,71.49,85,88,8.19,CN,1603822020
342,santa isabel do rio negro,-0.41,-65.02,90.72,56,94,1.99,BR,1603822021
343,bogorodskoye,56.55,37.88,44.24,85,20,12.21,RU,1603821974
344,pompeia,-22.11,-50.17,87.8,45,75,13.87,BR,1603822023
345,diamantino,-14.41,-56.45,92.35,46,86,5.3,BR,1603822024
346,pacific grove,36.62,-121.92,66.99,33,1,6.49,US,1603822003
347,changtu,42.78,124.1,36.23,65,0,4.92,CN,1603822029
348,anadyr,64.75,177.48,12.2,85,20,4.47,RU,1603822030
349,alofi,-19.06,-169.92,69.8,100,40,6.93,NU,1603822031
350,klyuchi,52.27,79.17,36.86,75,83,17.74,RU,1603822034
351,behshahr,36.69,53.55,64.54,76,30,3.76,IR,1603822035
352,adrar,20.5,-10.07,92.98,12,0,9.84,MR,1603822036
353,pokrovsk,48.28,37.18,52.21,44,92,13.38,UA,1603822037
354,aklavik,68.22,-135.01,8.6,92,75,3.6,CA,1603822038
355,ilulissat,69.22,-51.1,9.55,92,75,3.44,GL,1603821943
356,maxixe,-23.86,35.35,73.15,87,16,9.64,MZ,1603822040
357,bac lieu,9.29,105.72,78.31,87,100,12.03,VN,1603822043
358,zaltan,32.95,11.87,67.55,54,44,13.62,LY,1603822044
359,huarmey,-10.07,-78.15,69.93,67,96,10.13,PE,1603822045
360,banda aceh,5.56,95.32,80.02,76,72,13.44,ID,1603821938
361,trinidad,-14.83,-64.9,87.8,55,75,4.7,BO,1603821859
362,sisimiut,66.94,-53.67,20.3,88,13,7.61,GL,1603822048
363,miracema do tocantins,-9.56,-48.4,91.36,48,90,6.13,BR,1603822050
364,katsuura,35.13,140.3,59.0,77,20,8.05,JP,1603822052
365,yerbogachen,61.28,108.01,19.29,97,69,2.77,RU,1603821996
366,abalak,58.13,68.59,21.18,96,100,14.52,RU,1603822055
367,senno,59.53,33.92,47.21,82,44,10.13,RU,1603822056
368,yurgamysh,55.37,64.47,23.74,96,98,18.3,RU,1603822057
369,namibe,-15.2,12.15,70.3,79,15,7.74,AO,1603821963
370,vanimo,-2.67,141.3,77.97,78,86,2.15,PG,1603822059
371,jalingo,8.88,11.37,81.16,42,0,2.26,NG,1603822060
372,ulaanbaatar,47.91,106.88,14.0,78,0,2.55,MN,1603821866
373,dajabon,19.55,-71.71,86.0,66,40,16.11,DO,1603822063
374,phan thiet,10.93,108.1,78.64,83,100,13.02,VN,1603822064
375,hostotipaquillo,21.07,-104.07,80.01,57,75,0.31,MX,1603822065
376,agirish,61.92,63.02,19.72,95,95,2.86,RU,1603822066
377,mahajanga,-15.72,46.32,80.6,74,20,10.29,MG,1603822067
378,taylorville,39.55,-89.29,39.2,93,90,5.82,US,1603822068
379,nikolskoye,59.7,30.79,53.6,76,75,8.95,RU,1603822070
380,kilrush,52.64,-9.48,48.2,81,20,12.75,IE,1603822071
381,moree,-29.47,149.85,60.8,77,6,12.97,AU,1603822072
382,sioux lookout,50.1,-91.92,24.8,68,90,11.41,CA,1603822073
383,abengourou,6.73,-3.5,74.25,95,88,3.47,CI,1603822074
384,hamois,50.33,5.15,51.01,93,75,21.92,BE,1603822076
385,phuket,8.0,98.25,86.0,88,20,6.93,TH,1603822077
386,sur,22.57,59.53,71.42,57,0,2.37,OM,1603821836
